Record Key	User Code	Link Code
010101000E0G	FOREST GREEN	8280120
010101000E0H	GLAMOROUS PACIFIC	8280120
010101000E0I	ICE GREY	8280120
010101000E0J	LONDON BLUES	8280120
010101000E0K	MACARON GREEN	8280120
010101000E0L	MOONLIGHT	8280120
010101000E0M	PEARL BLACK	8280120
010101000E0N	PEARL WHITE	8280120
010101000E0O	PEBBLE GREY	8280120
010101000E0P	PINKY DAISY	8280120
010101000E0Q	ROYAL GREY	8280120
010101000E0R	RUSTIC RED	8280120
010101000E0S	SAFARI GREY	8280120
010101000E0T	SAHARA CREAM	8280120
010101000E0U	SNOW WHITE	8280120
010101000E0V	TIMELESS GREY	8280120
010101000E0W	Глянец Бежевый	8280120
010101000E0X	Глянец Белый	8280120
010101000E0Y	Глянец Бьянко	8280120
010101000E0Z	Глянец Крем	8280120
010101000E10	Суперматовый Белый	8280120
010101000E11	__	8280120
010101000E12	ANTRACITA METALDECO	8280120
010101000E13	ANTRACITA SUPERMAT	8280120
010101000E14	ANTRACITA Глянец	8280120
010101000E15	BASALTO METALDECO	8280120
010101000E16	BASALTO PEARL EFFECT Глянец	8280120
010101000E17	BASALTO SUPERMAT	8280120
010101000E18	BASALTO Глянец	8280120
010101000E19	BLANCO COLONIAL PEARL EFFECT Глянец	8280120
010101000E1A	BLANCO METALDECO	8280120
010101000E1B	BLANCO POLAR	8280120
010101000E1C	BLANCO SUPERMAT	8280120
010101000E1D	BLANCO Глянец	8280120
010101000E1E	CACHEMIR METALDECO	8280120
010101000E1F	CACHEMIR Глянец	8280120
010101000E1G	CASHEMIRE SUPERMAT	8280120
010101000E1H	CUZCO COBRE Глянец	8280120
010101000E1I	CUZCO GRAFITT Глянец	8280120
010101000E1J	CUZCO ORO Глянец	8280120
010101000E1K	CUZCO SILVER Глянец	8280120
010101000E1L	EVORA-3	8280120
010101000E1M	EVORA-3 Гориз	8280120
010101000E1N	EVORA-4	8280120
010101000E1O	EVORA-4  Гориз	8280120
010101000E1P	GRIS NUBE METALDECO	8280120
010101000E1Q	GUAYANA Глянец	8280120
010101000E1R	GUAYANA Глянец Гориз	8280120
010101000E1S	ICE-CREAM-1	8280120
010101000E1T	ICE-CREAM-1 Гориз	8280120
010101000E1U	ICE-CREAM-2	8280120
010101000E1V	ICE-CREAM-2 Гориз	8280120
010101000E1W	ICE-CREAM-3	8280120
010101000E1X	ICE-CREAM-3 Гориз	8280120
010101000E1Y	ICE-CREAM-4	8280120
010101000E1Z	ICE-CREAM-4 Гориз	8280120
010101000E20	LEATHER MELANGE-1	8280120
010101000E21	MAGNOLIA METALDECO	8280120
010101000E22	MAGNOLIA SUPERMAT	8280120
010101000E23	MAGNOLIA Глянец	8280120
010101000E24	MARFIL PEARL EFFECT Глянец	8280120
010101000E25	MELANGE 1 Глянец	8280120
010101000E26	NEGRO SUPERMAT	8280120
010101000E27	NEGRO Глянец	8280120
010101000E28	OLIVO Глянец	8280120
010101000E29	OLIVO глянец Гориз	8280120
010101000E2A	OXID-01	8280120
010101000E2B	OXID-04	8280120
010101000E2C	TEXTIL DORADO Глянец	8280120
010101000E2D	TEXTIL PLATA Глянец	8280120
010101000E2E	Муратти-1	8280120
